time [s],id,pos_x,pos_y,angle [deg],speed [m/s]
34.0,8,12134.29,5616.31,21.06,0.42
34.0,9,11059.68,5730.92,105.05,12.49
35.0,0,11880.82,5579.19,74.86,7.36
35.0,1,10854.13,5614.71,345.52,12.44
35.0,2,12167.86,5014.12,271.52,7.93
35.0,3,11272.56,4964.83,228.95,6.38
35.0,4,10767.64,5022.8,2.49,7.23
35.0,5,12055.93,5142.94,193.65,17.29
35.0,6,11136.42,5727.82,278.94,9.79
35.0,7,11846.08,5511.68,316.91,9.89
35.0,8,12134.34,5616.46,21.06,0.16
35.0,9,11072.89,5727.37,105.05,13.85
36.0,0,11887.2,5576.71,112.68,6.86
36.0,1,10850.92,5627.13,345.52,12.83
36.0,2,12161.89,5014.56,274.72,6.0
36.0,3,11269.6,4962.25,228.95,3.93
36.0,4,10768.15,5031.89,357.55,9.2
36.0,5,12051.64,5125.28,193.65,18.17
36.0,6,11124.78,5729.94,281.72,11.83
36.0,7,11842.31,5515.58,315.87,5.42
36.0,8,12134.36,5616.49,21.06,0.03
36.0,9,11088.2,5723.25,105.05,16.05
37.0,0,11895.86,5572.92,113.66,9.45
37.0,1,10848.84,5635.19,345.52,8.33
37.0,2,12158.32,5018.86,326.05,6.0
37.0,3,11264.16,4959.65,248.28,6.22
37.0,4,10764.11,5041.78,337.73,10.69
37.0,5,12047.56,5108.46,193.65,17.31
37.0,6,11110.79,5733.75,285.05,14.3
37.0,7,11836.83,5519.26,299.91,6.74
37.0,8,12134.36,5616.5,21.06,0.01
37.0,9,11100.5,5719.95,105.05,12.9
38.0,0,11906.45,5568.48,111.53,11.49
38.0,1,10849.21,5640.19,4.89,5.19
38.0,2,12157.89,5024.55,356.55,5.71
38.0,3,11257.29,4962.44,298.1,7.58
38.0,4,10761.59,5047.94,337.73,6.65
38.0,5,12043.34,5091.09,193.65,17.88
38.0,6,11095.02,5737.99,285.05,16.14
38.0,7,11831.58,5518.12,255.02,5.61
38.0,8,12134.36,5616.5,21.06,0.0
38.0,9,11108.51,5717.79,105.05,8.4
39.0,0,11919.05,5564.42,107.84,13.24
39.0,1,10853.92,5642.64,64.13,5.44
39.0,2,12157.24,5032.23,354.1,7.72
39.0,3,11250.68,4967.44,307.15,8.28
39.0,4,10758.91,5049.75,313.28,3.75
39.0,5,12039.01,5073.25,193.65,18.35
39.0,6,11076.76,5742.9,285.05,18.68
39.0,7,11827.17,5513.47,222.65,6.42
39.0,8,12134.36,5616.5,21.06,0.0
39.0,9,11112.63,5716.69,105.05,4.32
40.0,0,11931.82,5560.31,107.84,13.42
40.0,1,10860.77,5644.27,76.6,7.04
40.0,2,12156.09,5041.49,352.92,9.34
40.0,3,11242.85,4973.38,307.15,9.82
40.0,4,10758.67,5046.63,209.52,3.41
40.0,5,12034.77,5055.81,193.65,17.95
40.0,6,11057.04,5748.2,285.05,20.18
40.0,7,11821.86,5506.49,217.12,8.77
40.0,8,12134.36,5616.5,21.06,0.0
40.0,9,11115.24,5715.75,107.68,2.79
41.0,0,11940.96,5557.37,107.84,9.6
41.0,1,10869.01,5646.23,76.6,8.47
41.0,2,12154.64,5053.17,352.89,11.76
41.0,3,11236.0,4978.56,307.15,8.59
41.0,4,10760.68,5041.72,157.73,5.31
41.0,5,12030.42,5037.88,193.65,18.45
41.0,6,11041.09,5752.49,285.05,16.32
41.0,7,11815.14,5497.61,217.12,11.14
41.0,8,12134.36,5616.5,21.06,0.0
41.0,9,11115.84,5713.33,142.53,3.08
42.0,0,11945.81,5555.67,109.41,5.14
42.0,1,10867.47,5656.09,347.01,10.67
42.0,2,12153.19,5064.82,352.89,11.75
42.0,3,11232.58,4981.15,307.15,4.29
42.0,4,10763.68,5034.4,157.73,7.9
42.0,5,12026.21,5020.53,193.65,17.85
42.0,6,11029.64,5755.8,287.66,11.82
42.0,7,11807.91,5487.79,216.12,12.2
42.0,8,12134.36,5616.5,21.06,0.0
42.0,9,11113.4,5710.83,216.86,3.49
43.0,0,11951.65,5552.16,124.22,6.9
43.0,1,10864.58,5668.66,347.01,12.89
43.0,2,12152.19,5072.78,352.89,8.02
43.0,3,11229.63,4986.36,337.26,6.45
43.0,4,10765.19,5024.35,181.84,10.42
43.0,5,12021.87,5002.67,193.65,18.38
43.0,6,11021.19,5762.73,321.05,11.21
43.0,7,11801.14,5478.5,216.12,11.5
43.0,8,12134.36,5616.5,21.06,0.0
43.0,9,11109.64,5707.02,224.6,5.35
44.0,0,11952.66,5544.69,183.12,7.86
44.0,1,10861.87,5680.38,347.01,12.03
44.0,2,12151.76,5076.27,352.89,3.52
44.0,3,11233.89,4991.65,44.08,6.9
44.0,4,10765.98,5012.22,162.21,12.5
44.0,5,12017.78,4985.82,193.65,17.34
44.0,6,11016.24,5773.55,335.85,11.91
44.0,7,11794.29,5468.84,215.22,11.85
44.0,8,12134.36,5616.5,21.06,0.0
44.0,9,11103.9,5701.63,227.3,7.88
45.0,0,11950.88,5534.4,189.8,10.44
45.0,1,10859.09,5692.44,347.01,12.37
45.0,2,12149.64,5077.93,326.24,3.13
45.0,3,11240.85,4997.5,49.95,9.09
45.0,4,10771.98,4999.43,154.85,14.14
45.0,5,12013.93,4968.36,190.75,17.88
45.0,6,11010.49,5786.7,337.34,14.35
45.0,7,11789.29,5461.77,215.22,8.66
45.0,8,12134.36,5616.5,21.06,0.0
45.0,9,11096.44,5695.27,230.03,9.8
46.0,0,11948.69,5521.72,189.8,12.87
46.0,1,10856.82,5702.29,347.04,0.0
46.0,2,12148.58,5075.91,253.62,2.43
46.0,3,11248.92,5004.29,49.95,10.54
46.0,4,10777.68,4987.3,154.85,13.4
46.0,5,12010.65,4951.08,190.75,17.59
46.0,6,11004.4,5801.59,338.6,16.08
46.0,7,11789.19,5458.15,187.85,4.16
46.0,8,12134.36,5616.5,21.06,0.0
46.0,9,11089.74,5687.4,208.53,10.73
47.0,0,11946.84,5511.01,189.8,10.86
47.0,1,10856.1,5704.48,344.67,2.3
47.0,2,12149.14,5071.46,173.51,4.48
47.0,3,11258.07,5011.98,49.95,11.96
47.0,4,10773.85,4980.64,238.88,10.07
47.0,5,12007.35,4933.27,189.86,18.11
47.0,6,10998.09,5818.33,339.35,17.89
47.0,7,11789.68,5453.53,173.21,4.81
47.0,8,12134.36,5616.5,21.06,0.0
47.0,9,11086.7,5676.99,196.26,10.84
48.0,0,11945.86,5504.73,188.65,6.36
48.0,1,10854.72,5708.56,341.31,4.32
48.0,2,12149.95,5064.92,172.91,6.59
48.0,3,11269.2,5021.32,49.98,14.53
48.0,4,10768.14,4977.19,238.88,6.68
48.0,5,12004.22,4915.25,189.86,18.29
48.0,6,10991.15,5836.73,339.35,19.66
48.0,7,11785.99,5451.94,238.01,4.14
48.0,8,12134.36,5616.5,21.06,0.0
48.0,9,11087.56,5666.11,177.64,11.08
49.0,0,11946.39,5496.71,170.75,8.14
49.0,1,10850.82,5713.17,318.35,6.16
49.0,2,12150.94,5057.0,172.91,7.98
49.0,3,11280.07,5030.45,49.98,14.2
49.0,4,10763.05,4973.23,230.4,6.49
49.0,5,12001.1,4897.28,189.86,18.24
49.0,6,10983.69,5856.54,339.36,21.18
49.0,7,11781.32,5451.66,266.13,4.68
49.0,8,12134.36,5616.5,21.06,0.0
49.0,9,11081.64,5656.45,214.57,11.54
50.0,0,11952.79,5490.56,124.04,9.12
50.0,1,10842.88,5713.8,263.53,8.33
50.0,2,12152.17,5047.06,172.91,10.02
50.0,3,11291.03,5039.65,49.98,14.31
50.0,4,10762.3,4967.78,181.01,6.06
50.0,5,11998.68,4879.47,184.8,17.99
50.0,6,10975.54,5878.18,339.37,23.12
50.0,7,11774.35,5451.59,269.38,6.98
50.0,8,12134.36,5616.5,21.06,0.0
50.0,9,11074.73,5655.11,259.03,7.04
51.0,0,11962.92,5484.99,118.82,11.57
51.0,1,10833.16,5711.22,255.18,10.05
51.0,2,12153.69,5034.89,172.9,12.26
51.0,3,11302.44,5049.23,49.98,14.89
51.0,4,10762.51,4967.41,175.02,0.0
51.0,5,11997.21,4861.96,184.8,17.58
51.0,6,10970.5,5891.37,338.99,14.12
51.0,7,11765.65,5451.49,269.38,8.7
51.0,8,12134.36,5616.5,21.06,0.0
51.0,9,11065.66,5654.39,270.74,9.21
52.0,0,11974.52,5479.41,112.52,12.89
52.0,1,10821.53,5707.59,250.05,12.2
52.0,2,12154.64,5025.45,175.43,9.49
52.0,3,11312.02,5057.27,49.98,12.51
52.0,4,10763.76,4965.62,153.23,2.18
52.0,5,11996.58,4845.88,180.27,16.11
52.0,6,10967.57,5897.63,333.43,6.93
52.0,7,11755.54,5451.38,269.38,10.12
52.0,8,12134.36,5616.5,21.06,0.0
52.0,9,11057.2,5657.78,290.57,9.2
53.0,0,11987.09,5474.2,112.52,13.61
53.0,1,10808.91,5706.1,248.62,0.0
53.0,2,12154.88,5020.47,177.24,4.99
53.0,3,11318.5,5062.72,49.98,8.47
53.0,4,10766.31,4961.95,145.16,4.47
53.0,5,11996.52,4833.59,180.24,12.29
53.0,6,10961.34,5900.48,286.22,7.22
53.0,7,11744.88,5452.87,289.01,11.14
53.0,8,12134.36,5616.5,21.06,0.0
53.0,9,11046.16,5657.68,272.84,11.14
54.0,0,12001.59,5473.35,89.2,14.7
54.0,1,10807.23,5705.57,249.92,1.76
54.0,2,12157.01,5013.85,158.17,7.08
54.0,3,11321.66,5065.36,49.98,4.12
54.0,4,10770.14,4956.33,145.89,6.8
54.0,5,11996.6,4825.79,179.44,7.79
54.0,6,10954.26,5898.06,249.08,7.5
54.0,7,11739.31,5462.51,335.51,11.39
54.0,8,12134.36,5616.5,21.06,0.0
54.0,9,11035.8,5661.76,291.46,11.13
55.0,0,12015.53,5473.36,91.28,13.95
55.0,1,10803.33,5704.33,252.39,4.09
55.0,2,12163.66,5011.04,105.44,7.47
55.0,3,11325.91,5068.89,50.44,5.53
55.0,4,10774.77,4949.37,146.38,8.36
55.0,5,11996.56,4820.39,180.48,5.41
55.0,6,10945.93,5894.55,247.13,9.04
55.0,7,11733.73,5471.78,322.34,10.91
55.0,8,12134.36,5616.5,21.06,0.0
55.0,9,11027.56,5667.45,328.38,11.72
56.0,0,12026.94,5472.68,93.44,11.43
56.0,1,10797.67,5703.99,268.09,5.75
56.0,2,12170.67,5010.85,91.52,7.01
56.0,3,11331.48,5073.48,50.48,7.21
56.0,4,10780.64,4940.54,146.38,10.61
56.0,5,11995.43,4814.86,192.56,5.7
56.0,6,10940.18,5894.45,273.26,6.07
56.0,7,11724.74,5476.76,292.83,10.37
56.0,8,12134.36,5616.5,21.06,0.0
56.0,9,11029.62,5678.05,9.79,10.81
57.0,0,12033.85,5472.25,93.55,6.93
57.0,1,10793.58,5708.36,325.06,6.47
57.0,2,12179.02,5010.63,91.52,8.35
57.0,3,11338.66,5079.33,50.98,9.27
57.0,4,10784.39,4934.91,146.38,6.76
57.0,5,11990.39,4812.18,247.67,6.09
57.0,6,10936.91,5899.77,333.43,6.37
57.0,7,11713.65,5480.79,289.93,11.8
